"o","text","annotation","term","annotation2","term2"
"https://www.ncbi.nlm.nih.gov/pubmed/23107711a2","Chitosan, a deacetylated form of chitin, is a dietary fibre known for its hypolipidemic properties, which are mainly attributed to its unique cationic characteristics.","https://www.ncbi.nlm.nih.gov/pubmed/23107711a2b3","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/23107711a2b8","hypolipidemic"
"https://www.ncbi.nlm.nih.gov/pubmed/23869957a4","Besides providing a source of carbohydrate, grain is also a natural source of dietary fiber, vitamins, minerals, specific oils, and other disease-fighting phytocompounds.","https://www.ncbi.nlm.nih.gov/pubmed/23869957a4b5","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23869957a4b9","disease"
"https://www.ncbi.nlm.nih.gov/pubmed/26021487t1","Dietary fibre and incidence of type 2 diabetes in eight European countries: the EPIC-InterAct Study and a meta-analysis of prospective studies","https://www.ncbi.nlm.nih.gov/pubmed/26021487t1b1","Dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26021487t1b3","type 2 diabetes"
"https://www.ncbi.nlm.nih.gov/pubmed/26140540a7","The results of hematoxylin-eosin and immunohistochemistry staining revealed that the infiltration of immune cells, including GPR43+ PMN, was more severe in active Crohn's disease patients who consumed normal food or enteral nutrition with dietary fiber than in remission patients and colon cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/26140540a7b13","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/26140540a7b16","colon cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/26140540a7","The results of hematoxylin-eosin and immunohistochemistry staining revealed that the infiltration of immune cells, including GPR43+ PMN, was more severe in active Crohn's disease patients who consumed normal food or enteral nutrition with dietary fiber than in remission patients and colon cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/26140540a7b13","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/26140540a7b9","disease"
"https://www.ncbi.nlm.nih.gov/pubmed/26735801a4","There is evidence that specific dietary fibers improve the integrity of the epithelial layer of the intestines, increase the resistance against pathogenic colonization, reduce the risk of developing colorectal cancer, increase mineral absorption, and have a positive impact on the immune system, but these effects are neither generally acknowledged nor completely understood.","https://www.ncbi.nlm.nih.gov/pubmed/26735801a4b2","dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/26735801a4b9","colorectal cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/25903636t1","Systematic review: dietary fibre and FODMAP-restricted diet in the management of constipation and irritable bowel syndrome","https://www.ncbi.nlm.nih.gov/pubmed/25903636t1b3","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/25903636t1b6","constipation"
"https://www.ncbi.nlm.nih.gov/pubmed/25903636t1","Systematic review: dietary fibre and FODMAP-restricted diet in the management of constipation and irritable bowel syndrome","https://www.ncbi.nlm.nih.gov/pubmed/25903636t1b3","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/25903636t1b7","irritable bowel syndrome"
"https://www.ncbi.nlm.nih.gov/pubmed/26510459a3","This study was aimed to investigate the effects of cereal dietary fiber on obesity-related liver lipotoxicity in C57BL/6J mice fed a high-fat/cholesterol (HFC) diet and underlying mechanism.","https://www.ncbi.nlm.nih.gov/pubmed/26510459a3b4","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/26510459a3b12","liver"
"https://www.ncbi.nlm.nih.gov/pubmed/26510459a3","This study was aimed to investigate the effects of cereal dietary fiber on obesity-related liver lipotoxicity in C57BL/6J mice fed a high-fat/cholesterol (HFC) diet and underlying mechanism.","https://www.ncbi.nlm.nih.gov/pubmed/26510459a3b4","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/26510459a3b5","obesity"
"https://www.ncbi.nlm.nih.gov/pubmed/23134882a7","Results:                    After adjustment for age and other known or potential risk factors, we observed no associations between total carbohydrates or dietary fiber and prostate cancer.","https://www.ncbi.nlm.nih.gov/pubmed/23134882a7b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23134882a7b8","prostate cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/25578759a7","In conclusion, this meta-analysis provides evidence that dietary fiber or food naturally rich in fiber has beneficial effects on circulating CRP level in overweight/obese adults.","https://www.ncbi.nlm.nih.gov/pubmed/25578759a7b4","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/25578759a7b13","obese"
